,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Seating_Capacity,Seats_Material,Type,Wheelbase
0,Tata,Nano Genx,Xt,292667,624,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS 4,"Rear, Transverse",Injection,24,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.297345971564003,23.6,26.160526315789475,660.0,4,4.0,Fabric,Manual,2230.0
1,Tata,Nano Genx,Xe,236447,624,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS 4,"Rear, Transverse",Injection,24,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.297345971564003,23.6,26.160526315789475,725.0,4,4.0,Fabric,Manual,2230.0
2,Tata,Nano Genx,Emax Xm,296661,624,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS 4,"Rear, Transverse",Injection,15,CNG,1652.0,3164.0,1750.0,Hatchback,4.0,100.00115562403698,17.297345971564003,18.52588732394362,36.0,710.0,4,4.0,Fabric,Manual,2230.0
3,Tata,Nano Genx,Xta,334768,624,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS 4,"Rear, Transverse",Injection,24,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.297345971564003,21.9,26.160526315789475,725.0,5,4.0,Fabric,Automatic,2230.0
4,Tata,Nano Genx,Xm,272223,624,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS 4,"Rear, Transverse",Injection,24,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.297345971564003,23.6,26.160526315789475,725.0,4,4.0,Fabric,Manual,2230.0
5,Tata,Nano Genx,Xma,314815,624,2.0,2.0,RWD (Rear Wheel Drive),In-line,BS 4,"Rear, Transverse",Injection,24,Petrol,1652.0,3164.0,1750.0,Hatchback,5.0,23.6,17.297345971564003,21.9,26.160526315789475,710.0,5,4.0,Fabric,Automatic,2230.0
6,Datsun,Redi-Go,D,279650,799,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 4,"Front, Transverse",Injection,28,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,26.160526315789475,1342.2072289156627,5,5.0,Fabric,Manual,2348.0
7,Datsun,Redi-Go,T,351832,799,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 4,"Front, Transverse",Injection,28,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,26.160526315789475,1342.2072289156627,5,5.0,Fabric,Manual,2348.0
8,Datsun,Redi-Go,A,333419,799,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 4,"Front, Transverse",Injection,28,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,26.160526315789475,1342.2072289156627,5,5.0,Fabric,Manual,2348.0
9,Datsun,Redi-Go,S,362000,799,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 4,"Front, Transverse",Injection,28,Petrol,1541.0,3429.0,1560.0,Hatchback,5.0,21.38,24.0,25.17,26.160526315789475,1342.2072289156627,5,5.0,Fabric,Manual,2348.0
